en,es,de,fa,ar
(filtered from _MAX_ total entries),(filtrado del total de _MAX_ entradas),(gefiltert aus _MAX_ Gesamteinträgen),(فیلتر شده از مجموع ورودی‌های _MAX_),(مُرشَّح من _MAX_ إدخال)
< Previous Step,< Paso anterior,< Vorheriger Schritt,< مرحله قبل,< الخطوة السابقة
<0><1> AUTOADVICE,<0><1> Autoaprendizaje,<0><1> SELBSTBEDIENUNG,<0><1> خودآموزی,<0><1> التعلم الذاتي
<0><1> CONSULTANCY,<0><1> Consultoría,<0><1> BERATUNG,<0><1> مشاوره,<0><1> الاستشارات
<0><1> FORUM,<0><1> Foro,<0><1> FORUM,<0><1> انجمن,<0><1> المنتدى
ABOUT,Acerca de,ÜBER,درباره,حول
ABOUT<0><1>,Acerca de <0><1>,ÜBER <0><1>,درباره<0><1>,حول<0><1>
ACADEMY,Academia,AKADEMIE,آکادمی,الأكاديمية
Access,Acceso,Zugang,دسترسی,الوصول
Add another item <0><1>,Añadir otro elemento <0><1>,Weiteren Eintrag hinzufügen <0><1>,اضافه کردن یک آیتم دیگر <0><1>,إضافة عنصر آخر <0><1>
Add your first item <0><1>,Añade tu primer artículo <0><1>,Ersten Eintrag hinzufügen <0><1>,اضافه کردن اولین آیتم شما <0><1>,إضافة العنصر الأول <0><1>
Administrator,Gerente,Administrator,مدیر,المسؤول
All key values cleared successfuly from the lexicon!,¡Todos los valores clave se han eliminado correctamente del diccionario!,Alle Schlüsselwerte erfolgreich aus dem Lexikon gelöscht!,تمام مقادیر کلیدی با موفقیت از واژه‌نامه پاک شدند!,تم حذف جميع القيم الرئيسية بنجاح من القاموس!
Are you sure you want to remove this item?, ¿Está seguro que desea eliminar este elemento?,Möchten Sie diesen Eintrag wirklich entfernen?,آیا مطمئنید که می‌خواهید این آیتم را حذف کنید؟ ,هل أنت متأكد من حذف هذا العنصر؟ 
ARTICLE,Artículo,ARTIKEL,مقاله,مقالة
Ausbildung,Educación,Ausbildung,Ausbildung,التدريب
Author,Autor,Autor,نویسنده,المؤلف
AUTOADVICE,AUTOASESORAMIENTO,AUTOADVICE,AUTOADVICE,نصائح تلقائية
AUTOADVICE<0><1>,AUTOASESORAMIENTO<0><1>,AUTOADVICE<0><1>,AUTOADVICE<0><1>,نصائح تلقائية<0><1>
Back to Home,Volver a la página de inicio,Zurück zur Startseite,بازگشت به صفحه اصلی,العودة إلى الصفحة الرئيسية
Ban,Bandera,Banner,بنر,اللافتة
Banner Path,Ruta del banner,Bannerpfad,مسیر بنر,مسار اللافتة
BASE,Base,BASIS,پایه,أساسي
BASE  ,Base,BASIS,پایه,أساسي
Be in Touch with us,Manténgase en contacto con nosotros.,Kontaktieren Sie uns,با ما در تماس باشید,اتصل بنا
Bio,Biografía,Bio,بیوگرافی,السيرة الذاتية
Browse Categories,Explorar categorías,Kategorien durchsuchen,مرور دسته‌بندی‌ها,تصفح الفئات
Businessplan,Plan de negocios,Businessplan,طرح کسب و کار,خطة العمل
CATEGORIES,Categorías,KATEGORIEN,دسته‌بندی‌ها,الفئات
Categories Management,Administrar categorías,Kategorienverwaltung,مدیریت دسته‌بندی‌ها,إدارة الفئات
Category,Categoría,Kategorie,دسته‌بندی,الفئات
Clear Lexicon,Diccionario claro,Lexikon löschen,پاک کردن واژه‌نامه,مسح المصطلحات
COMMENTS,Comentarios,KOMMENTARE,نظرات,التعليقات
Comments Management,Gestión de vistas,Kommentarverwaltung,مدیریت نظرات,إدارة التعليقات
CONSULTANCY,Consulta,BERATUNG,مشاوره,نصائح
CONSULTANCY<0><1>,Consulta<0><1>,BERATUNG<0><1>,مشاوره<0><1>,نصائح<0><1>
CONTACT,Contacto,KONTAKT,تماس,اتصل بنا
CONTACT<0><1>,Contacto <0><1>,KONTAKT<0><1>,تماس<0><1>,اتصل بنا<0><1>
Contacts,correlación,Kontakte,ارتباط,جهات الاتصال
CONTENTS,Su contenido,INHALT,محتواها,المحتويات
Contents Management,Gestión de contenidos,Inhaltsverwaltung,مدیریت محتواها,إدارة المحتوى
Copy Right,Derechos de autor,Urheberrecht,کپی رایت,حقوق النشر
CreateTime,Es hora de crear,Erstellungszeit,زمان ایجاد,وقت الإنشاء
DASHBOARD,Panel,DASHBOARD,داشبورد,لوحة التحكم
"Dear <0>, you have logged in successfully","Estimado <0>, has iniciado sesión exitosamente.","Lieber <0>, Sie haben sich erfolgreich angemeldet.","عزیز <0>، شما با موفقیت وارد سیستم شدید","عزيزي <0>، تم تسجيل دخولك بنجاح"
"Default mail reciever
",Destinatario de correo electrónico predeterminado,"Standard-E-Mail-Empfänger
",گیرنده ایمیل پیش‌فرض,مستلم البريد الإلكتروني الافتراضي
"Default mail sender
",Remitente de correo electrónico predeterminado,"Standard-E-Mail-Absender
",فرستنده ایمیل پیش‌فرض,مرسل البريد الإلكتروني الافتراضي
Description,Descripción,Beschreibung,توضیحات,الوصف
Descriptions about the website owner,Descripción sobre el propietario del sitio web,Beschreibungen des Website-Betreibers,توضیحاتی درباره مالک وب‌سایت,نبذة عن مالك الموقع
Developer,Revelador,Entwickler,توسعه‌دهنده,المطور
"Different types of delimiting rows, and commonly used functions in the database",Diferentes tipos de filas de restricción y funciones comunes en la base de datos,Verschiedene Arten der Zeilenbegrenzung und häufig verwendete Funktionen in der Datenbank,انواع مختلف ردیف‌های محدودکننده و توابع رایج در پایگاه داده,أنواع مختلفة من صفوف القيود والوظائف الشائعة في قاعدة البيانات
Discover your strengths,Descubre tus fortalezas,Entdecken Sie Ihre Stärken,نقاط قوت خود را کشف کنید,اكتشف نقاط قوتك
Display _MENU_ items per page,Mostrar elementos _MENU_ en cada página,Menüpunkte pro Seite anzeigen,نمایش آیتم‌های _MENU_ در هر صفحه,عرض عناصر القائمة في كل صفحة
Do not have an account?,Hazlo ¿No tienes una cuenta?,Do Sie haben noch kein Konto?,انجام دهید حساب کاربری ندارید؟,ليس لديك حساب؟
Double click to hide,Haga doble clic para ocultar.,Doppelklicken zum Ausblenden,برای مخفی کردن دوبار کلیک کنید,انقر نقرًا مزدوجًا للإخفاء
Download Path,Ruta de descarga,Download-Pfad,مسیر دانلود,مسار التنزيل
View Lexicon,,Lexikon Sicht,نمایش واژه‌نامه,انظر القاموس
Edit Lexicon,Editar el diccionario,Lexikon bearbeiten,ویرایش واژه‌نامه,تعديل القاموس
Edit Profile,Editar perfil,Profil bearbeiten,ویرایش نمایه,تعديل الملف الشخصي
Editor,Editor,Editor,ویرایشگر,المحرر
Email,Correo Electrónico,E-Mail,رایانامه,بريد إلكتروني
Email/Phone/UserName,Correo electrónico/Teléfono/Nombre de usuario,E-Mail/Telefon/Benutzername,ایمیل/تلفن/نام کاربری,البريد الإلكتروني/الهاتف/اسم المستخدم
Error Symbol Path,Ruta del símbolo de error,Fehlersymbol-Pfad,مسیر نماد خطا,مسار رمز الخطأ
Export Lexicon,Exportar un diccionario,Lexikon exportieren,صادر کردن واژه‌نامه,تصدير القاموس
First,Primero,Vorname,اولین,الأول
Forgot your password?,¿Cual es tu clave de acceso?,Passwort vergessen?,رمز عبور خود را فراموش کرده‌اید؟,نسيت كلمة المرور؟
FORUM,Tenemos éxito,FORUM,انجمن,المجتمع
Full Banner Path,Marcha con pancartas completas,Bannerpfad,مسیر کامل بنر,مسار البانر الكامل
Full Description,Explicaciones completas,Beschreibung,توضیحات کامل,الوصف الكامل
Full Logo Path,Ruta completa del logotipo,Logopfad,مسیر کامل لوگو,مسار الشعار الكامل
Full Name,Nombre completo,Name,نام کامل,الاسم الكامل
Full Owner,Propietario completo,Inhaber,مالک کامل,المالك الكامل
Full Slogan,Logotipo completo,Slogan,شعار کامل,الشعار الكامل
Group,Grupo,Gruppe,گروه,المجموعات
GROUPS,Grupos,GRUPPEN,گروه‌ها,المجموعات
Guest,Importante,Gäste,مهمان,الضيف
HandBook,Tu libro es nuestra guía,Handbuch,کتابچه راهنما,الأدلة
HOME,Casa,STARTSEITE,خانه,الصفحة الرئيسية
Home Path,camino de la casa,Startseite,مسیر خانه,مسار الصفحة الرئيسية
I know exactly what I want to be.,Desde hace un minuto les dejo con una sonrisa.,"Ich weiß genau, was ich werden will.",من دقیقاً می‌دانم می‌خواهم چه باشم.,أعرف تمامًا ما أريد أن أكون.
I know roughly what I want to be.,Casi en mitad de la noche.,"Ich weiß ungefähr, was ich werden will.",تقریباً می‌دانم چه می‌خواهم باشم.,أعرف تقريبًا ما أريد أن أكون.
I<0>t know which one yet.,¿Qué me pasa?,"Ich weiß noch nicht, was.",هنوز نمی‌دانم کدام.,لا أعرف أيهما بعد.
Id,¿Qué te pasa?,ID,شناسه,الهوية
Image,Fotografía,Bild,تصویر,الصورة
Import Lexicon,Entra el idioma kurdo,Lexikon importieren,وارد کردن واژه‌نامه,استيراد القاموس
Impressum,Imprimir,Impressum,چاپ,طباعة
Information,Información,Informationen,اطلاعات,معلومات
INFORMATIONS,Información,INFORMATIONEN,اطلاعات,معلومات
 Instagram,Instagram,Instagram,اینستاگرام,إنستغرام
Item,Caso,Artikel,مورد,حول
Join to a Forum,Únase a una comunidad,Forum beitreten,به یک انجمن بپیوندید,انضم إلى مجتمع
Key Words,Palabras clave,Schlüsselwörter,کلمات کلیدی,الكلمات المفتاحية
Last,Último,Letzte,آخرین,الأحدث
Latest Guides,Guías más recientes,Neueste Anleitungen,آخرین راهنماها,أحدث الأدلة
Leave a message to Us!,¡Déjanos un mensaje!,Hinterlasse uns eine Nachricht!,برای ما پیام بگذارید!,اترك لنا رسالة!
LETS GO!,¡Comencemos!,LOS GEHT'S!,بیایید شروع کنیم!,هيا بنا!
Loading...,Cargando...,Wird geladen...,در حال بارگذاری...,جاري التحميل...
Location,Lugar,Standort,مکان,الموقع
Logo Path,Ruta del logotipo,Logopfad,مسیر لوگو,الشعار
Main,Original,Hauptmenü,اصلی,الرئيسية
Main Menus,Menú original,Hauptmenüs,منوهای اصلی,القوائم الرئيسية
Manager,Gerente,Manager,مدیر,المدير
Meister,Director General,Meister,مدیر ارشد,المدير الأول
Members,Miembros,Mitglieder,اعضا,الأعضاء
MENU,¿OMS?,MENÜ,منو,القائمة
Message,Mensaje,Nachricht,پیام,الرسالة
Message Us,Mensaje para nosotros,Nachricht an uns,پیام به ما,راسلنا
MESSAGES,mensajes,NACHRICHTEN,پیام‌ها,الرسائل
More...,Más...,Mehr...,بیشتر...,المزيد...
Name,Dormir,Name,نام,الاسم
NEWS,noticias,NACHRICHTEN,اخبار,الأخبار
Next,Después de mí,Weiter,بعدی,التالي
No items available,No hay ningún recurso disponible,Keine Einträge verfügbar,هیچ موردی موجود نیست,لم يتم العثور على أي عناصر
No matching items found,"Si hay un recurso que coincida, selecciónelo",Keine passenden Einträge gefunden,هیچ موردی مطابق یافت نشد,لم يتم العثور على أي عناصر مطابقة
Our Services,Servicios,Unsere Leistungen,خدمات ما,خدماتنا
Owner,Dueño,Inhaber,مالک,المالك
Owner Description,Las explicaciones de Malik,Beschreibung des Inhabers,توضیحات مالک,وصف المالك
Parent,padre,Übergeordneter,والد,الرئيسي
Password,Código de acceso,Passwort,رمز عبور,كلمة المرور
Path,camino,Pfad,مسیر,المسار
Post,Pasado,Post,پست,المنشور
Posts,Pasados,Posts,پست‌ها,المنشورات
Previous,tribal,Zurück,قبلی,السابق
Priority,Prioridad,Priorität,اولویت,الأولوية
Process Symbol Path,Ruta del icono del proceso,Prozesssymbolpfad,مسیر نماد فرآیند,رمز عملية المسار
Quick Links,Enlaces rápidos,Schnellzugriffe,لینک‌های سریع,روابط سريعة
Read More...,Leer más...,Mehr lesen...,بیشتر بخوانید...,اقرأ المزيد...
Receiver Email,Correo electrónico del destinatario,Empfänger-E-Mail,ایمیل گیرنده,بريد المستلم
Registered,Registrado,Registriert,ثبت شده,مسجل
Reset,Reiniciar,Zurücksetzen,بازنشانی,إعادة تعيين
Reset Password,Restablecer contraseña,Passwort zurücksetzen,بازنشانی رمز عبور,إعادة تعيين كلمة المرور
Restore,Recuperación,Wiederherstellen,بازیابی,استعادة
Schedule,Calendario,Planen,برنامه زمانی,جدولة
Search,Buscar,Suchen,جستجو,بحث
Search engine optimization (SEO),Optimización de motores de búsqueda (SEO),Suchmaschinenoptimierung (SEO),بهینه سازی موتور جستجو (SEO),تحسين محركات البحث (SEO)
Search for suitable apprenticeships,Simplemente dime qué ciclo es adecuado para ti.,Suche nach passenden Ausbildungsplätzen,جستجوی دوره‌های کارآموزی مناسب,ابحث عن فرص تدريب مناسبة
Search: ,Sólo ve:,Suche:,جستجو:,بحث:
Sender Email,Correo electrónico Farestandeh,Absender-E-Mail,ایمیل فرستنده,بريد المرسل
Services,Servicios,Leistungen,خدمات,الخدمات
Shortcuts,Mianberha,Verknüpfungen,میانبرها,الاختصارات
Show Profile,Perfil de visualización,Profil anzeigen,نمایش پروفایل,عرض الملف الشخصي
Showing _START_ to _END_ of _TOTAL_ entries,Nombres de _inicio_ de _la_ entrada_ de _TOTAL_,_START_ bis _END_ von _TOTAL_ Einträgen werden angezeigt,نمایش _شروع_ تا _پایان_ ورودی‌های _TOTAL_,إظهار إجمالي الإدخالات من البداية إلى النهاية
Side Menus,Menús canarios,Seitenmenüs,منوهای کناری,القوائم الجانبية
Sign Dashboard,Rosas en el tablero,Dashboard anmelden,ورود به داشبورد,تسجيل الدخول إلى لوحة التحكم
Sign In,Entrada al sistema,Anmelden,ورود به سیستم,تسجيل الدخول
Sign Out,Salir del sistema,Abmelden,خروج از سیستم,تسجيل الخروج
Sign Up,Regístrate ahora,Registrieren,ثبت نام,تسجيل
Slogan,eslogan,Slogan,شعار,الشعار
Source,fuente,Quelle,منبع,المورد
Special,Wizah,Spezial,ویژه,خاص
Status,Estado,Status,وضعیت,الحالة
Step by step to your dream job,Se trata del trabajo de una novela.,Schritt für Schritt zu deinem Traum Job,گام به گام تا شغل رویایی شما,الخطوة خطوة بخطوة نحو حلمك وظيفة
Subject,tema,Betreff,موضوع,الموضوع
Submit,enviar,Senden,ارسال,إرسال
Super,Súper,Super,سوپر,مشرف
SWITCH,Cambiar,SWITCH,سوئیچ,تبديل
SYSTEMS,Sistemas,SYSTEME,سیستم‌ها,أنظمة
TAGS,Etiquetas,TAGS,برچسب‌ها,الوسوم
Tags Management,Gestión de etiquetas,Tags-Verwaltung,مدیریت برچسب‌ها,إدارة الوسوم
TEAM,Equipo,TEAM,تیم,الفريق
TEAM<0><1>,Equipo<0><1>,TEAM<0><1>,تیم<0><1>,الفريق<0><1>
 Telegram,Telegrama,Telegram,تلگرام,تليجرام
TEST,Prueba,TEST,آزمون,اختبار
The Administrator User Group,Grupo de usuarios administradores,Administratorgruppe,گروه کاربری مدیر,مجموعة مستخدمي الإدارة
The Author User Group,Grupo de usuarios autores,Autorgruppe,گروه کاربری نویسنده,مجموعة مستخدمي المؤلفين
The Ban Group,Grupo de prohibición,Sperrgruppe,گروه ممنوعیت,مجموعة الحظر
"The default download links path
",Ruta predeterminada para enlaces de descarga,„Standardpfad für Download-Links“,مسیر پیش‌فرض لینک‌های دانلود,مسار رابط التنزيل الافتراضي
"The default homepage path
",Ruta de la página de inicio predeterminada,„Standardpfad für die Startseite“,مسیر پیش‌فرض صفحه اصلی,مسار الصفحة الرئيسية الافتراضي
The Editor User Group,Grupo de usuarios editores,Editorgruppe,گروه کاربری ویرایشگر,مجموعة مستخدمي المحررين
The Guest Group,Grupo de invitados,Gästegruppe,گروه مهمان,مجموعة الضيوف
"The location link on the map
",Enlace de ubicación en el mapa,„Standortlink auf der Karte“,لینک مکان روی نقشه,رابط الموقع على الخريطة
"The main members and personnel of the website
",Miembros y personal del sitio web principal,Hauptmitglieder und Mitarbeiter der Website,اعضا و پرسنل اصلی وب‌سایت,أعضاء الموقع الرئيسيون وفريق العمل
The main menu of the website,Menú principal del sitio web,Hauptmenü der Website,منوی اصلی وب‌سایت,قائمة الموقع الرئيسية
"The main symbol path to show on the errors
",La ruta al símbolo original que se mostrará en caso de errores.,„Hauptsymbolpfad für Fehler“,مسیر نماد اصلی برای نمایش در خطاها,مسار الأيقونات الرئيسية للعرض في حالة وجود أخطاء
"The main symbol path to show while system is processing
",La ruta al ícono principal que se mostrará durante el procesamiento del sistema.,„Hauptsymbolpfad für Systemverarbeitung“,مسیر نماد اصلی برای نمایش در حین پردازش سیستم,مسار الأيقونات الرئيسية للعرض أثناء معالجة النظام
"The main symbol path to show while system is waiting
",La ruta al ícono principal que se mostrará mientras el sistema está esperando.,„Hauptsymbolpfad für Systemwartezeiten“,مسیر نماد اصلی برای نمایش در حین انتظار سیستم,مسار الأيقونات الرئيسية للعرض أثناء انتظار النظام
The Manager User Group,Grupo de usuarios administradores,Managergruppe,گروه کاربری مدیر,مجموعة مستخدمي الإدارة
The Registered User Group,Grupo de usuarios registrados,Registrierte Benutzergruppe,گروه کاربران ثبت‌نام‌شده,مجموعة المستخدمين المسجلين
The short slogan of the website,Eslogan corto para un sitio web,Kurzslogan der Website,شعار کوتاه وب‌سایت,شعار الموقع القصير
"The side menu to show on the most pages
",Menú lateral para mostrar en la mayoría de las páginas,„Seitenmenü für die meisten Seiten“,منوی کناری برای نمایش در اکثر صفحات,قائمة جانبية للعرض في معظم الصفحات
The Special User Group,Grupo especial de usuarios,Spezialbenutzergruppe,گروه کاربری ویژه,مجموعة مستخدمين خاصة
The Super User Group,Grupo de usuarios administradores,Superbenutzergruppe,گروه کاربری مدیر,مجموعة مستخدمي الإدارة
"The website full logo path
",Ruta completa del logotipo del sitio web,„Logopfad der Website“,مسیر لوگوی کامل وب‌سایت,مسار شعار الموقع بالكامل
"The website main banner path
",Ruta del banner principal del sitio web,„Hauptbannerpfad der Website“,مسیر بنر اصلی وب‌سایت,مسار بانر الموقع الرئيسي
"The website main logo path
",La ruta al logotipo del sitio web principal,„Logopfad der Website“,مسیر لوگوی اصلی وب‌سایت,مسار شعار الموقع الرئيسي
Title,Título,Titel,عنوان,العنوان
To manage all received comments,Para gestionar todos los comentarios recibidos,Verwalten aller eingegangenen Kommentare,برای مدیریت تمام نظرات دریافتی,لإدارة جميع التعليقات الواردة
To manage all received emails and messages,"Para gestionar todos los comentarios, correos electrónicos y mensajes entrantes",Verwalten aller eingegangenen E-Mails und Nachrichten,برای مدیریت تمام نظرات دریافتی ایمیل‌ها و پیام‌ها,رسائل البريد الإلكتروني والرسائل
To manage all the user groups of the website,Para administrar todos los grupos de usuarios del sitio web,Verwalten aller Benutzergruppen der Website,برای مدیریت تمام گروه‌های کاربری وب‌سایت,لإدارة جميع مجموعات مستخدمي الموقع
To manage all the website's users,Para gestionar todos los usuarios del sitio web,Verwaltung aller Website-Benutzer,برای مدیریت تمام کاربران وب‌سایت,لإدارة جميع مستخدمي الموقع
To manage the back-end website settings,Para administrar la configuración de administración del sitio web,Verwaltung der Backend-Einstellungen,برای مدیریت تنظیمات بخش مدیریت وب‌سایت,لإدارة إعدادات قسم إدارة الموقع
To manage website's categories,Para administrar las categorías del sitio web,Verwaltung der Website-Kategorien,برای مدیریت دسته‌بندی‌های وب‌سایت,لإدارة فئات الموقع
To manage website's posts and pages,Para administrar publicaciones y páginas del sitio web,Verwaltung der Website-Beiträge und -Seiten,برای مدیریت پست‌ها و صفحات وب‌سایت,لإدارة منشورات الموقع الصفحات
To manage website's tags,Para administrar las etiquetas del sitio web,Verwaltung der Website-Tags,برای مدیریت تگ‌های وب‌سایت,لإدارة وسوم الموقع
Translation,Traducción,Übersetzung,ترجمه,الترجمة
TRANSLATIONS,Traducciones,ÜBERSETZUNGEN,ترجمه‌ها,الترجمات
Type,Tipo,Typ,نوع,النوع
Update,Actualizar,Aktualisierung,به‌روزرسانی,تحديث
UpdateTime,Hora de actualización,Aktualisierungszeit,زمان به‌روزرسانی,وقت التحديث
User Groups Management,Administrar grupos de usuarios,Benutzergruppenverwaltung,مدیریت گروه‌های کاربری,إدارة مجموعات المستخدمين
USERS,Usuarios,BENUTZER,کاربران,المستخدمون
Users Management,Gestión de usuarios,Benutzerverwaltung,مدیریت کاربران,إدارة المستخدمين
Wait Symbol Path,Ruta del símbolo de espera,Wartesymbolpfad,مسیر نماد انتظار,مسار أيقونة الانتظار
Web Mining,Minería web,Web Mining,وب‌کاوی,استخراج بيانات الويب
See More...,Ver más...,Mehr sehen...,بیشتر ببین...,شاهد المزيد...
Learn More...,Aprender más...,Mehr erfahren...,بیشتر یادبگیر...,تعرّف على المزيد...
Read More...,Leer más...,Mehr lesen...,بیشتر بخوان...,اقرأ المزيد...
Know Others...,Conocer a otros...,Mehr erfahren...,بیشتر بدان...,تعرّف على الآخرين...
Look Further...,Mirar más allá...,Mehr sehen...,بیشتر ببین...,انطلق إلى أبعد من ذلك...
See More,Ver más,Mehr sehen,بیشتر ببین,شاهد المزيد
Learn More,Aprender más,Mehr erfahren,بیشتر یادبگیر,تعرّف على المزيد
Read More,Leer más,Mehr lesen,بیشتر بخوان,اقرأ المزيد
Know Others,Conocer a otros,Mehr erfahren,بیشتر بدان,تعرّف على الآخرين
Look Further,Mirar más allá,Mehr sehen,بیشتر ببین,انطلق إلى أبعد من ذلك
Click to change the image!,¡Haga clic para cambiar la imagen!,"Klicken Sie hier, um das Bild zu ändern!",برای تغییر تصویر کلیک نمایید,انقر لتغيير الصورة!
Work Impact,Impacto del trabajo,Auswirkungen der Arbeit,تاثیر کار,تأثير العمل
Work Max Tolerance,El mayor trabajo,Die meiste Arbeit,بیشترین میزان کار,اكثر عمل
Work Min Tolerance,La menor cantidad de trabajo,Der geringste Arbeitsaufwand,کمترین میزان کار,أقل قدر من العمل
Works Status,Estado de la obra,Stand der Arbeiten,وضعیت کارها,حالة العمل
X,Hacha,Axt,اکس,الفأس
X (Transexual),Ambos,Beide,هردو,كلاهما
You are logged in!,¡Has iniciado sesión!,Du bist angemeldet!,شما وارد‌شده اید!,لقد قمت بتسجيل الدخول!
You do not have enough access to this action!,¡No tienes suficiente acceso para realizar esta operación!,"Sie verfügen nicht über ausreichende Zugriffsrechte, um diesen Vorgang auszuführen!",شما دسترسی کافی برای انجام این عملیات را ندارید!,ليس لديك القدرة الكافية على إجراء هذه العملية!
You signed out successfully!,¡Has cerrado sesión exitosamente!,Sie haben sich erfolgreich abgemeldet!,شما با موفقیت از سیستم خارج شدید!,لقد قمت بتسجيل الخروج بنجاح!
"Your account will need to be activated if you change the field!","¡Si cambias este campo, tu cuenta debería ser activada!","Wenn Sie dieses Feld ändern, sollte Ihr Konto aktiviert werden!","اگر این فیلد را تغییر دهید، حساب شما باید فعال شود!","إذا قمت بتغيير هذا الحقل، سيتم تفعيل حسابك!"
Your change draft for the <0> registered successfully!,¡Su documento de cambio para <0> se ha enviado correctamente!,Ihr Änderungsdokument für <0> wurde erfolgreich übermittelt!,سند تغییر شما برای <0> با موفقیت ثبت شد!,لقد تم إرسال مستند التغيير الخاص بك لـ <0> بنجاح!
"Your full name, you will known by this around the site","Tu nombre completo, por este nombre eres conocido en el sistema.","Ihr vollständiger Name, unter diesem Namen sind Sie im System bekannt.","نام کامل شما، شما را با این نام در سامانه می‌شناسند","اسمك الكامل، أنت معروف بهذا الاسم في النظام."
"Your organization, institute, company, etc.","Organización, institución, empresa, etc.","Organisation, Institution, Unternehmen usw.","سازمان، موسسه، شرکت و غیره","منظمة، مؤسسة، شركة، الخ."
Your request is not valid!,¡Su solicitud no es válida!,Ihre Anfrage ist ungültig!,درخواست شما معتبر نیست!,طلبك غير صالح!
Your Satisfaction is our Greatest Goal,Su satisfacción es nuestro mayor objetivo.,Ihre Zufriedenheit ist unser größtes Ziel.,رضایت شما بزرگترین هدف ماست,رضاكم هو هدفنا الأكبر.
Developed By:,,,توسعه یافته توسط:,
Powered By:,,,قدرت گرفته از:,
